epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,5989.26,0.73451,0.49429,0.92935,0.99032,0.71429,0.72346,0.53977,1.47181,2.62826,1.17613,0.001571,0.001571,0.001571
67,6025.16,0.74839,0.47711,0.94023,0.99009,0.71429,0.72164,0.53806,1.45664,2.71335,1.22127,0.0015644,0.0015644,0.0015644
68,6059.77,0.74111,0.49186,0.96825,0.98943,0.71429,0.72704,0.52517,1.42697,2.8028,1.25863,0.0015578,0.0015578,0.0015578
69,6095.6,0.78457,0.49047,0.96184,0.91373,0.71429,0.72225,0.5353,1.44665,2.99706,1.21754,0.0015512,0.0015512,0.0015512
70,6131.79,0.79464,0.4853,0.98375,0.71383,0.71429,0.73192,0.54442,1.29455,3.19892,1.14743,0.0015446,0.0015446,0.0015446
71,6167.78,0.7199,0.44293,0.94478,0.95815,0.71429,0.73474,0.57157,1.22033,3.04571,1.10414,0.001538,0.001538,0.001538
72,6205.35,0.75406,0.48155,0.93849,0.9769,0.71429,0.74538,0.62057,1.19386,2.31081,1.13114,0.0015314,0.0015314,0.0015314
73,6242,0.79262,0.49933,0.98117,0.79755,0.71429,0.71989,0.57113,1.28079,2.36108,1.0768,0.0015248,0.0015248,0.0015248
74,6277.19,0.72505,0.47357,0.92749,0.98686,0.71429,0.78059,0.63767,1.1426,1.98883,1.06217,0.0015182,0.0015182,0.0015182
75,6312.9,0.68495,0.44954,0.91252,0.99027,0.71429,0.7337,0.57842,1.06538,2.5045,1.10974,0.0015116,0.0015116,0.0015116
76,6347.96,0.73362,0.4739,0.94054,1,0.8515,0.8844,0.69349,1.0165,1.63163,0.9479,0.001505,0.001505,0.001505
77,6383.87,0.72118,0.47435,0.93738,0.98964,0.71429,0.8497,0.71632,1.10028,2.10736,0.99218,0.0014984,0.0014984,0.0014984
78,6419.92,0.72314,0.46308,0.94365,0.99006,0.71429,0.7395,0.57018,1.10543,2.58732,1.02172,0.0014918,0.0014918,0.0014918
79,6455.2,0.7163,0.46916,0.9416,0.99041,0.71429,0.73653,0.56726,1.18576,2.74773,1.0394,0.0014852,0.0014852,0.0014852
80,6490.72,0.77016,0.46787,0.94253,0.99012,0.71429,0.7295,0.56528,1.22279,2.69614,1.08028,0.0014786,0.0014786,0.0014786
81,6526.44,0.69151,0.44662,0.92239,0.98915,0.71429,0.72078,0.59147,1.03054,2.58693,1.06236,0.001472,0.001472,0.001472
82,6562.18,0.7029,0.46252,0.93421,0.98922,0.71429,0.72022,0.5861,1.20467,2.6356,1.09591,0.0014654,0.0014654,0.0014654
83,6597.27,0.70133,0.448,0.93694,0.98978,0.71429,0.72921,0.57381,1.23198,2.60634,1.03783,0.0014588,0.0014588,0.0014588
84,6632.36,0.73918,0.45489,0.93298,0.99009,0.71429,0.73653,0.52823,1.17827,2.59959,1.04237,0.0014522,0.0014522,0.0014522
85,6667.42,0.68333,0.42921,0.93856,0.98989,0.71429,0.74589,0.55685,1.2219,2.67594,1.07307,0.0014456,0.0014456,0.0014456
86,6702.09,0.70773,0.44046,0.94817,0.98987,0.71429,0.7885,0.64167,1.25205,2.67879,1.1209,0.001439,0.001439,0.001439
87,6736.96,0.70668,0.44149,0.90331,0.98883,0.71429,0.82597,0.64388,1.25189,2.57805,1.10747,0.0014324,0.0014324,0.0014324
88,6772.1,0.7309,0.44521,0.94701,0.98831,0.71429,0.81236,0.62988,1.31061,2.56233,1.12628,0.0014258,0.0014258,0.0014258
89,6808.01,0.68509,0.43052,0.93085,0.85567,0.8483,0.85417,0.65002,1.22616,2.06524,1.02158,0.0014192,0.0014192,0.0014192
90,6844.16,0.72687,0.43748,0.90449,0.85476,0.84285,0.85417,0.67437,1.35403,2.28219,1.09127,0.0014126,0.0014126,0.0014126
91,6885.97,0.71551,0.45303,0.94134,0.98855,0.71429,0.84205,0.65844,1.20506,1.95879,0.99038,0.001406,0.001406,0.001406
92,6941.29,0.77174,0.48665,0.94801,0.98831,0.71429,0.8326,0.64505,1.19378,1.58684,1.00743,0.0013994,0.0013994,0.0013994
93,6987.4,0.68917,0.42097,0.9044,0.98861,0.71429,0.73474,0.55706,1.18044,2.62211,1.07249,0.0013928,0.0013928,0.0013928
94,7019.16,0.73142,0.46297,0.95395,0.95534,0.71429,0.72317,0.56228,1.22247,3.02361,1.11924,0.0013862,0.0013862,0.0013862
95,7059.71,0.73345,0.46114,0.93381,0.88462,0.71429,0.72102,0.54296,1.2751,2.98117,1.08467,0.0013796,0.0013796,0.0013796
96,7104.09,0.70152,0.43453,0.91005,0.77776,0.71429,0.71601,0.55664,1.11668,2.24655,0.98388,0.001373,0.001373,0.001373
